Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.0,1.0,1.0,145.0,0.9705882352941176,1.0,0.9850746268656716,33.0,Random Forest_pca
1,1.0,1.0,1.0,154.0,0.9655172413793104,1.0,0.9824561403508771,28.0,Random Forest_pca
2,1.0,1.0,1.0,144.0,0.9411764705882353,0.9696969696969697,0.955223880597015,33.0,Random Forest_pca
3,1.0,1.0,1.0,149.0,1.0,0.9117647058823529,0.9538461538461539,34.0,Random Forest_pca
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,Random Forest_pca
5,1.0,1.0,1.0,135.0,0.9347826086956522,0.9148936170212766,0.924731182795699,47.0,Random Forest_pca
6,1.0,1.0,1.0,146.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0,Random Forest_pca
7,1.0,1.0,1.0,145.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,Random Forest_pca
8,1.0,1.0,1.0,144.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0,Random Forest_pca
9,1.0,1.0,1.0,140.0,0.926829268292683,0.95,0.9382716049382716,40.0,Random Forest_pca
0,1.0,1.0,1.0,145.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,33.0,Random Forest_rf
1,1.0,1.0,1.0,154.0,0.9655172413793104,1.0,0.9824561403508771,28.0,Random Forest_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Random Forest_rf
3,1.0,1.0,1.0,149.0,1.0,0.9705882352941176,0.9850746268656716,34.0,Random Forest_rf
4,1.0,1.0,1.0,135.0,0.9787234042553191,1.0,0.989247311827957,46.0,Random Forest_rf
5,1.0,1.0,1.0,135.0,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0,Random Forest_rf
6,1.0,1.0,1.0,146.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0,Random Forest_rf
7,1.0,1.0,1.0,145.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,Random Forest_rf
8,1.0,1.0,1.0,144.0,1.0,0.9666666666666667,0.983050847457627,30.0,Random Forest_rf
9,1.0,1.0,1.0,140.0,0.975,0.975,0.975,40.0,Random Forest_rf
0,1.0,1.0,1.0,145.0,0.9705882352941176,1.0,0.9850746268656716,33.0,XGBoost_pca
1,1.0,1.0,1.0,154.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0,XGBoost_pca
2,1.0,1.0,1.0,144.0,0.9142857142857143,0.9696969696969697,0.9411764705882354,33.0,XGBoost_pca
3,1.0,1.0,1.0,149.0,1.0,0.9411764705882353,0.9696969696969697,34.0,XGBoost_pca
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,XGBoost_pca
5,1.0,1.0,1.0,135.0,0.8979591836734694,0.9361702127659575,0.9166666666666666,47.0,XGBoost_pca
6,1.0,1.0,1.0,146.0,1.0,0.9714285714285714,0.9855072463768115,35.0,XGBoost_pca
7,1.0,1.0,1.0,145.0,0.9696969696969697,0.9411764705882353,0.955223880597015,34.0,XGBoost_pca
8,1.0,1.0,1.0,144.0,0.9310344827586207,0.9,0.9152542372881356,30.0,XGBoost_pca
9,1.0,1.0,1.0,140.0,0.925,0.925,0.925,40.0,XGBoost_pca
0,1.0,1.0,1.0,145.0,1.0,0.9696969696969697,0.9846153846153847,33.0,XGBoost_rf
1,1.0,1.0,1.0,154.0,0.9333333333333333,1.0,0.9655172413793104,28.0,XGBoost_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,XGBoost_rf
3,1.0,1.0,1.0,149.0,1.0,0.9117647058823529,0.9538461538461539,34.0,XGBoost_rf
4,1.0,1.0,1.0,135.0,0.9777777777777777,0.9565217391304348,0.967032967032967,46.0,XGBoost_rf
5,1.0,1.0,1.0,135.0,0.9387755102040817,0.9787234042553191,0.9583333333333333,47.0,XGBoost_rf
6,1.0,1.0,1.0,146.0,0.9444444444444444,0.9714285714285714,0.9577464788732395,35.0,XGBoost_rf
7,1.0,1.0,1.0,145.0,0.9444444444444444,1.0,0.9714285714285714,34.0,XGBoost_rf
8,1.0,1.0,1.0,144.0,0.9655172413793104,0.9333333333333333,0.9491525423728815,30.0,XGBoost_rf
9,1.0,1.0,1.0,140.0,0.9743589743589743,0.95,0.9620253164556962,40.0,XGBoost_rf
