Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
accuracy,,,0.82,,,,0.79,,Logistic Regression
macro avg,0.8,0.73,0.76,4391.0,0.75,0.72,0.73,1098.0,Logistic Regression
weighted avg,0.82,0.82,0.82,4391.0,0.79,0.79,0.78,1098.0,Logistic Regression
balanced_accuracy,,,0.73,,,,0.72,,Logistic Regression
accuracy,,,1.0,,,,0.85,,Decision Tree
macro avg,1.0,1.0,1.0,4391.0,0.81,0.82,0.82,1098.0,Decision Tree
weighted avg,1.0,1.0,1.0,4391.0,0.85,0.85,0.85,1098.0,Decision Tree
balanced_accuracy,,,1.0,,,,0.82,,Decision Tree
accuracy,,,1.0,,,,0.91,,Random Forest
macro avg,1.0,1.0,1.0,4391.0,0.9,0.89,0.89,1098.0,Random Forest
weighted avg,1.0,1.0,1.0,4391.0,0.91,0.91,0.91,1098.0,Random Forest
balanced_accuracy,,,1.0,,,,0.89,,Random Forest
accuracy,,,1.0,,,,0.9,,Gradient Boosting
macro avg,1.0,1.0,1.0,4391.0,0.88,0.88,0.88,1098.0,Gradient Boosting
weighted avg,1.0,1.0,1.0,4391.0,0.9,0.9,0.9,1098.0,Gradient Boosting
balanced_accuracy,,,1.0,,,,0.88,,Gradient Boosting
accuracy,,,0.98,,,,0.83,,SVM
macro avg,0.97,0.97,0.97,4391.0,0.79,0.79,0.79,1098.0,SVM
weighted avg,0.98,0.98,0.98,4391.0,0.83,0.83,0.83,1098.0,SVM
balanced_accuracy,,,0.97,,,,0.79,,SVM
accuracy,,,1.0,,,,0.85,,KNN
macro avg,1.0,1.0,1.0,4391.0,0.81,0.82,0.81,1098.0,KNN
weighted avg,1.0,1.0,1.0,4391.0,0.85,0.85,0.85,1098.0,KNN
balanced_accuracy,,,1.0,,,,0.82,,KNN
accuracy,,,1.0,,,,0.91,,XGBoost
macro avg,1.0,1.0,1.0,4391.0,0.89,0.88,0.88,1098.0,XGBoost
weighted avg,1.0,1.0,1.0,4391.0,0.91,0.91,0.9,1098.0,XGBoost
balanced_accuracy,,,1.0,,,,0.88,,XGBoost
