Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
accuracy,,,0.86,,,,0.8,,Logistic Regression
macro avg,0.84,0.81,0.82,4391.0,0.75,0.75,0.74,1098.0,Logistic Regression
weighted avg,0.86,0.86,0.86,4391.0,0.8,0.8,0.8,1098.0,Logistic Regression
balanced_accuracy,,,0.81,,,,0.75,,Logistic Regression
accuracy,,,0.95,,,,0.84,,Decision Tree
macro avg,0.93,0.93,0.93,4391.0,0.8,0.8,0.8,1098.0,Decision Tree
weighted avg,0.95,0.95,0.95,4391.0,0.84,0.84,0.84,1098.0,Decision Tree
balanced_accuracy,,,0.93,,,,0.8,,Decision Tree
accuracy,,,0.96,,,,0.87,,Random Forest
macro avg,0.96,0.95,0.95,4391.0,0.85,0.83,0.84,1098.0,Random Forest
weighted avg,0.97,0.96,0.96,4391.0,0.87,0.87,0.87,1098.0,Random Forest
balanced_accuracy,,,0.95,,,,0.83,,Random Forest
accuracy,,,1.0,,,,0.91,,Gradient Boosting
macro avg,1.0,1.0,1.0,4391.0,0.9,0.88,0.88,1098.0,Gradient Boosting
weighted avg,1.0,1.0,1.0,4391.0,0.91,0.91,0.91,1098.0,Gradient Boosting
balanced_accuracy,,,1.0,,,,0.88,,Gradient Boosting
accuracy,,,0.98,,,,0.85,,SVM
macro avg,0.98,0.98,0.98,4391.0,0.82,0.81,0.81,1098.0,SVM
weighted avg,0.98,0.98,0.98,4391.0,0.85,0.85,0.85,1098.0,SVM
balanced_accuracy,,,0.98,,,,0.81,,SVM
accuracy,,,1.0,,,,0.83,,KNN
macro avg,1.0,1.0,1.0,4391.0,0.8,0.79,0.79,1098.0,KNN
weighted avg,1.0,1.0,1.0,4391.0,0.84,0.83,0.83,1098.0,KNN
balanced_accuracy,,,1.0,,,,0.79,,KNN
accuracy,,,1.0,,,,0.9,,XGBoost
macro avg,1.0,1.0,1.0,4391.0,0.89,0.88,0.88,1098.0,XGBoost
weighted avg,1.0,1.0,1.0,4391.0,0.9,0.9,0.9,1098.0,XGBoost
balanced_accuracy,,,1.0,,,,0.88,,XGBoost
