Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
accuracy,,,0.84,,,,0.8,,Logistic Regression
macro avg,0.81,0.76,0.78,4391.0,0.75,0.74,0.74,1098.0,Logistic Regression
weighted avg,0.83,0.84,0.83,4391.0,0.79,0.8,0.79,1098.0,Logistic Regression
balanced_accuracy,,,0.76,,,,0.74,,Logistic Regression
accuracy,,,1.0,,,,0.85,,Decision Tree
macro avg,1.0,1.0,1.0,4391.0,0.82,0.83,0.82,1098.0,Decision Tree
weighted avg,1.0,1.0,1.0,4391.0,0.85,0.85,0.85,1098.0,Decision Tree
balanced_accuracy,,,1.0,,,,0.83,,Decision Tree
accuracy,,,1.0,,,,0.91,,Random Forest
macro avg,1.0,1.0,1.0,4391.0,0.89,0.89,0.89,1098.0,Random Forest
weighted avg,1.0,1.0,1.0,4391.0,0.91,0.91,0.91,1098.0,Random Forest
balanced_accuracy,,,1.0,,,,0.89,,Random Forest
accuracy,,,1.0,,,,0.92,,Gradient Boosting
macro avg,1.0,1.0,1.0,4391.0,0.9,0.89,0.89,1098.0,Gradient Boosting
weighted avg,1.0,1.0,1.0,4391.0,0.92,0.92,0.91,1098.0,Gradient Boosting
balanced_accuracy,,,1.0,,,,0.89,,Gradient Boosting
accuracy,,,0.96,,,,0.85,,SVM
macro avg,0.94,0.94,0.94,4391.0,0.81,0.81,0.81,1098.0,SVM
weighted avg,0.96,0.96,0.96,4391.0,0.85,0.85,0.85,1098.0,SVM
balanced_accuracy,,,0.94,,,,0.81,,SVM
accuracy,,,1.0,,,,0.86,,KNN
macro avg,1.0,1.0,1.0,4391.0,0.82,0.83,0.83,1098.0,KNN
weighted avg,1.0,1.0,1.0,4391.0,0.87,0.86,0.86,1098.0,KNN
balanced_accuracy,,,1.0,,,,0.83,,KNN
accuracy,,,1.0,,,,0.9,,XGBoost
macro avg,1.0,1.0,1.0,4391.0,0.89,0.88,0.88,1098.0,XGBoost
weighted avg,1.0,1.0,1.0,4391.0,0.91,0.9,0.9,1098.0,XGBoost
balanced_accuracy,,,1.0,,,,0.88,,XGBoost
