Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
accuracy,,,1.0,,,,0.89,,Random Forest
macro avg,1.0,1.0,1.0,3867.0,0.89,0.82,0.85,1658.0,Random Forest
weighted avg,1.0,1.0,1.0,3867.0,0.89,0.89,0.89,1658.0,Random Forest
balanced_accuracy,,,1.0,,,,0.82,,Random Forest
accuracy,,,1.0,,,,0.88,,Gradient Boosting
macro avg,1.0,1.0,1.0,3867.0,0.83,0.79,0.81,1658.0,Gradient Boosting
weighted avg,1.0,1.0,1.0,3867.0,0.88,0.88,0.88,1658.0,Gradient Boosting
balanced_accuracy,,,1.0,,,,0.79,,Gradient Boosting
accuracy,,,1.0,,,,0.89,,XGBoost
macro avg,1.0,1.0,1.0,3867.0,0.85,0.75,0.77,1658.0,XGBoost
weighted avg,1.0,1.0,1.0,3867.0,0.88,0.89,0.88,1658.0,XGBoost
balanced_accuracy,,,1.0,,,,0.75,,XGBoost
